Matches,MatchesSplit,counts
ARABIA,AURA,80
USA,ISLAMIC AFRICAN RELIEF AGENCY,9
SECOND,SEGUNDA MARQUETALIA,709
INTERNATIONAL,International Tradelogistics Pte Ltd.,55
PARTY,HIZBALLAH,615
INTERNATIONAL,"Unionpay International Co.,Ltd",37
INTERNATIONAL,Mankell International Co.,51
INTERNATIONAL,CI International Co. Ltd.,25
INTERNATIONAL,SAAFARTEX ZONA FRANCA SAS,4
INTERNATIONAL,Bara Intl. Co. Ltd.,33
INTERNATIONAL,Parabola International Corporation,55
INTERNATIONAL,Robvic International limited,55
INTERNATIONAL,Geotes International (SL) Ltd.,38
INTERNATIONAL,Heron Intl. Inc.,52
INTERNATIONAL,APS International Ltd,55
MUSA,Seka Musa BALUKU,8
OFFSHORE,PETRAQ OFFSHORE LTD,16
BANK,HEKMAT IRANIAN BANK,133
OFFSHORE,STARS COMMUNICATIONS OFFSHORE SAL,16
BANK,ARIAN BANK,142
DCB,DAEDONG CREDIT BANK,65
CO,ACTEAM LOGISTICS LTD.,267
CO,TEX-CO LOGISTICS LTD.,24
BANK,JOINT STOCK COMPANY BLACK SEA BANK OF DEVELOPMENT AND RECONSTRUCTION,426
TECHNOLOGY,"SHENZHEN COBBER INFORMATION TECHNOLOGY CO., LTD.",41
TECHNOLOGY,LEON TECHNOLOGY COMPANY LIMITED,15
TECHNOLOGY,Technology Distributions Ltd,20
TECHNOLOGY,MEGVII TECHNOLOGY LIMITED,15
TECHNOLOGY,"CLOUDWALK TECHNOLOGY CO., LTD.",15
TECHNOLOGY,"NAZ TECHNOLOGY CO., LTD.",19
TECHNOLOGY,"KYLAND TECHNOLOGY CO., LTD.",5
TECHNOLOGY,SKY RISE TECHNOLOGY LTD,5
TECHNOLOGY,COMTEL TECHNOLOGY LIMITED,11
TECHNOLOGY,SENSENETS,5
TECHNOLOGY,FOANG TECH INC,6
TECHNOLOGY,Sigma Technology Inc,9
TECHNOLOGY,"SUNWAY TECH CO., LTD",12
TRF,LASHKAR E-TAYYIBA,54
OFF-SHORE,BARLY OFF-SHORE,1
OFF-SHORE,LANDMETICS SAL OFF-SHORE,1
VALUE,HASNA,48
LINE,"REACH SHIPPING LINES HONG KONG CO., LIMITED",48
TO,GOLD STAR 3,303
TECHNOLOGY,"BEIJING CLOUDMIND TECHNOLOGY CO., LTD.",10
SERVICES,Impecca Services Limited,42
SERVICES,VINAUDREY SERVICES LIMITED,42
SERVICES,FECINTY SERVICES LIMITED,42
SERVICES,BUREY SERVICES LIMITED,42
SERVICES,Intransaction Services LLC,42
SERVICES,PETROWEST SERVICES SA,42
COMMERCIAL,JOINT STOCK COMMERCIAL BANK RUBLEV,1192
NEW,NEW REGENT,182
TRADING,Commercial Trading and Services Limited,24
NIGERIA,Skill G Nigeria Ltd,39
INTERNATIONAL,Dato International Ltd.,52
INTERNATIONAL,Dumas International Limited,51
INTERNATIONAL,JPROS International Limited,51
INTERNATIONAL,Marcossy Intl. Ltd.,51
INTERNATIONAL,Skymaster International Limited,51
INTERNATIONAL,Napcy Intl. Ltd.,48
INTERNATIONAL,Sumire International Ltd.,47
INTERNATIONAL,Oceaneering International Inc.,47
INTERNATIONAL,Collabora Intl LLC,47
INTERNATIONAL,INTERNATIONAL TANKER LIMITED,23
I,Yi LI,14
BANK,BANK BELVEB OJSC,368
BANK,BANK NATIONAL FACTORING COMPANY JOINT STOCK COMPANY,368
BANK,VTB BANK PUBLIC JOINT STOCK COMPANY,450
BANK,IFT BANK NA,39
BANK,OCCIDENTAL BANK LIMITED,314
BANK,SAVING BANK,162
HUAWEI TECHNOLOGIES COMPANY LIMITED,"HUAWEI TECHNOLOGIES CO., LTD.",10
HUAWEI TECHNOLOGIES COMPANY LIMITED,"HUAWEI TECHNOLOGIES SERVICE CO., LTD.",3
HUAWEI TECHNOLOGIES COMPANY LIMITED,HUAWEI TECH. INVESTMENT CO.,4
HUAWEI TECHNOLOGIES COMPANY LIMITED,"HUAWEI SOFTWARE TECHNOLOGIES CO., LTD.",3
HUAWEI TECHNOLOGIES COMPANY LIMITED,"SHANGHAI HUAWEI TECHNOLOGIES CO., LTD.",4
HUAWEI TECHNOLOGIES COMPANY LIMITED,"CHENGDU HUAWEI TECHNOLOGIES CO., LTD.",3
HUAWEI TECHNOLOGIES COMPANY LIMITED,"XI'AN HUAWEI TECHNOLOGIES CO., LTD.",3
COMMERCIAL,Nile Commercial Bank,529
