End Date,Buy Ccy,Sell Ccy,Counterparty Mnemonic,Currency,Buy Amount,Sell Amount,Principal Amount (Signed),Contract Rate,TOTAL_INTEREST_VALUE,PL Now Accrued PL (int),Entity,Deal Date,Start Date,Subtype,Deal No,PENDING_DAYS_TO_MATURITY,TOTAL_MATURITY_AMOUNT,Type ,Deal Status,Trading Book,Deal Type,Department,Spread Rate,Internal Rate,Dealer,LCY_AMOUNT_1,ORIGINAL_TENOR,Outstanding Notional,Omgeo Ref,Settlement Method,PayRec,Cpty Pay Agent Inst,Pay Nostro,Rec Nostro,Security Code,Buy/Sell,Quantity Traded,ISIN 1,Block Ref,Sec. Inv. Price,Sec. Accrued,Repo Amount,Block Amt,CCY1,CCY2
9/13/2022,,,FIDELITY,USD,,,"20,000,000.00",4.74471,"237,235.50","92,258.25",UBANY,6/14/2022,6/15/2022,IBIOC,104619,55,"20,237,235.50",FIX/LOAN,STARTED,/BANK/UBANY/MMUBANY,COM_LOAN,MM_INTBK_TERM,0,4.74471,MOHNIR349,"20,000,000.00",,20000000,,,,,,,,,,,,,,,,,
9/16/2022,EUR,USD,SCB-LONDON,,"5,500,000.00","6,072,000.00",,1.104,,,UBANY,3/21/2022,3/21/2022,SWAP,104505,,,,STARTED,/BANK/UBANY/FXSALES/SWAP_SPREAD,FX_PLUS_SWAP_DEAL,FX,0.0087,1.078299368,MOHNIR349,,,,,,,,,,,,,,,,,,,,
9/16/2022,EUR,USD,SCB-LONDON,,"1,750,000.00","1,924,598.20",,1.0997704,,,UBANY,3/28/2022,3/29/2022,SWAP,104506,,,,STARTED,/BANK/UBANY/FXSALES/SWAP_SPREAD,FX_PLUS_SWAP_DEAL,FX,0.0092,1.078299368,MOHNIR349,,,,,,,,,,,,,,,,,,,,
9/19/2022,,,CHINA MB NY,USD,,,"30,000,000.00",0.9,"136,500.00","90,750.00",UBANY,3/18/2022,3/21/2022,IFBUB,104395,61,"30,136,500.00",FIX/LOAN,STARTED,/BANK/UBANY/MMUBANY,COM_LOAN,MM_PLEDGE,0,0.9,MOHNIR349,"30,000,000.00",,30000000,,,,,,,,,,,,,,,,,
9/19/2022,,,UBA-LAG,USD,,,"8,000,000.00",3.75,"150,833.33","100,000.00",UBAGCI,3/21/2022,3/22/2022,IHOFC,104400,61,"8,150,833.33",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"8,000,000.00",,8000000,,,,,,,,,,,,,,,,,
9/26/2022,,,UBA-LAG,USD,,,"7,500,000.00",3.75,"142,187.50","89,062.50",UBAGCI,3/21/2022,3/28/2022,IHOFC,104399,68,"7,642,187.50",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"7,500,000.00",,7500000,,,,,,,,,,,,,,,,,
9/27/2022,,,UBA-LAG,USD,,,"100,000,000.00",4.5,"1,150,000.00","287,500.00",UBAGCI,6/27/2022,6/27/2022,IHOFC,104636,69,"101,150,000.00",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,4.5,MOHNIR349,"100,000,000.00",,100000000,,,,,,,,,,,,,,,,,
11/7/2022,,,UBA-LAG,USD,,,"100,000,000.00",3.5,"1,798,611.11","729,166.67",UBAGCI,5/6/2022,5/6/2022,IHOFC,104537,110,"101,798,611.11",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.5,RUBSCOT348,"100,000,000.00",,100000000,,,,,,,,,,,,,,,,,
11/15/2022,,,UBA-LAG,USD,,,"25,000,000.00",4.75,"412,326.39","23,090.28",UBAGCI,7/13/2022,7/13/2022,IHOFC,104670,118,"25,412,326.39",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,4.75,MOHNIR349,"25,000,000.00",,25000000,,,,,,,,,,,,,,,,,
11/21/2022,,,UBA-LAG,USD,,,"13,000,000.00",3.75,"246,458.33","78,541.67",UBAGCI,5/19/2022,5/23/2022,IHOFC,104552,124,"13,246,458.33",FIX/LOAN,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_TERM,0,3.75,MOHNIR349,"13,000,000.00",,13000000,,,,,,,,,,,,,,,,,
